diseaseId	targetId	score	evidenceCount
EFO_0000616	ENSG00000141736	0.7128044757228995	19282
EFO_0000616	ENSG00000149311	0.7258962609101104	1333
EFO_0000616	ENSG00000157764	0.7121594978347893	6362
MONDO_0004985	ENSG00000136531	0.7181021374170194	152
MONDO_0004985	ENSG00000149295	0.7148950793376788	829
MONDO_0004986	ENSG00000068078	0.7194773075134653	462
MONDO_0004992	ENSG00000012048	0.7466789546842207	4683
MONDO_0004992	ENSG00000066468	0.7453879828550787	488
MONDO_0004992	ENSG00000068078	0.7042394083388528	432
MONDO_0004992	ENSG00000077782	0.7056620938262613	557
MONDO_0004992	ENSG00000134853	0.7042634864638846	344
MONDO_0004992	ENSG00000139618	0.7386537447772233	2027
MONDO_0004992	ENSG00000141736	0.7594536995295386	9271
MONDO_0004992	ENSG00000146648	0.7516203915841322	13476
MONDO_0004992	ENSG00000149311	0.7047187716043287	1610
MONDO_0004992	ENSG00000157404	0.736966148742896	889
MONDO_0004992	ENSG00000157764	0.7216449225338177	2810
MONDO_0004992	ENSG00000171094	0.7043626960961781	1180
MONDO_0004992	ENSG00000181163	0.7053993225299301	291
EFO_0004338	ENSG00000166603	0.7034843690805784	35
EFO_0004339	ENSG00000066827	0.7231596035719584	52
EFO_0004339	ENSG00000113389	0.7162784140492728	38
EFO_0004339	ENSG00000140443	0.7095072782987403	40
EFO_0004339	ENSG00000140470	0.7284612283184612	55
EFO_0004339	ENSG00000157766	0.7250565685708895	56
EFO_0004339	ENSG00000178177	0.7034390449718753	42
EFO_0000181	ENSG00000141510	0.786501687026211	1411
EFO_0000182	ENSG00000103126	0.7696451446643434	202
EFO_0000182	ENSG00000117713	0.7248405512548162	190
EFO_0000182	ENSG00000134982	0.7256760272980065	158
EFO_0000182	ENSG00000141510	0.8134595974489216	3882
EFO_0000182	ENSG00000168036	0.8026234904923124	968
EFO_0000182	ENSG00000189079	0.706634733810725	106
EFO_0000304	ENSG00000121879	0.7556978446611634	111
EFO_0000304	ENSG00000141510	0.7386580311175819	172
EFO_0000305	ENSG00000012048	0.8015289551036088	553
EFO_0000305	ENSG00000083093	0.7608794256232226	102
EFO_0000305	ENSG00000091831	0.7427162727976405	1416
EFO_0000305	ENSG00000136492	0.7144029151761302	58
EFO_0000305	ENSG00000139618	0.8746440062258756	525
EFO_0000305	ENSG00000141736	0.7062321228115688	1891
EFO_0000305	ENSG00000183765	0.7535861662706929	103
EFO_0000503	ENSG00000141510	0.7137270150894519	362
EFO_0007984	ENSG00000101162	0.7028744764757207	50
EFO_0000537	ENSG00000043591	0.7284584437594338	740
EFO_0000537	ENSG00000144891	0.7496669537983879	2062
EFO_0000537	ENSG00000157388	0.7170727692616515	851
EFO_0000537	ENSG00000159640	0.7104094774406606	6415
EFO_0000538	ENSG00000035403	0.70904866353721	156
EFO_0000538	ENSG00000092054	0.8902621275708049	3920
EFO_0000538	ENSG00000106617	0.8069127349638716	199
EFO_0000538	ENSG00000111245	0.7270732340085878	123
EFO_0000538	ENSG00000118194	0.7546421987951867	308
EFO_0000538	ENSG00000122367	0.7517292521036656	184
EFO_0000538	ENSG00000129991	0.8274566131061735	680
EFO_0000538	ENSG00000134571	0.8861235512414577	3072
EFO_0000538	ENSG00000136383	0.7646275995562722	105
EFO_0000538	ENSG00000140416	0.8148137519905055	551
EFO_0000538	ENSG00000149596	0.7031868609845128	475
EFO_0000538	ENSG00000155657	0.748630956058516	1621
EFO_0000538	ENSG00000159251	0.7822102632879865	124
EFO_0000538	ENSG00000160808	0.8038646608494595	322
EFO_0000538	ENSG00000197616	0.7569250410164593	1914
EFO_0000538	ENSG00000198523	0.7311509250178388	82
EFO_0004911	ENSG00000084674	0.8002558790964578	3801
EFO_0004911	ENSG00000130164	0.8496263313269574	2026
EFO_0004911	ENSG00000169174	0.8396227764054125	1118
MONDO_0054636	ENSG00000162923	0.7637052619858117	53
MONDO_0054695	ENSG00000091436	0.7362560250793052	18
MONDO_0054701	ENSG00000055609	0.7162854685857737	180
MONDO_0054742	ENSG00000043514	0.7553521943163709	27
MONDO_0054743	ENSG00000159063	0.7070854652058322	43
MONDO_0054748	ENSG00000012048	0.794692488067402	160
MONDO_0054781	ENSG00000122140	0.7048317000740547	16
MONDO_0054785	ENSG00000105819	0.7948268128933091	40
MONDO_0054833	ENSG00000163399	0.7533512098314245	36
MONDO_0054837	ENSG00000146872	0.7892692573818489	64
MONDO_0054842	ENSG00000090520	0.7422214110009691	19
MONDO_0060490	ENSG00000143363	0.7850897674808128	31
MONDO_0060491	ENSG00000087258	0.7766818789941772	44
MONDO_0060502	ENSG00000137055	0.7322856676936981	27
MONDO_0060510	ENSG00000074266	0.7607239463498389	63
MONDO_0060532	ENSG00000097007	0.7724765256452544	43
MONDO_0060533	ENSG00000159147	0.7494942369233643	23
MONDO_0060549	ENSG00000185630	0.7170574129428864	45
MONDO_0060556	ENSG00000125812	0.718630315076167	18
MONDO_0060578	ENSG00000116874	0.8003283254203962	39
MONDO_0060582	ENSG00000161513	0.7506105531978581	28
MONDO_0060583	ENSG00000130429	0.7444509659036472	27
MONDO_0060591	ENSG00000116044	0.7355684246553326	18
MONDO_0060596	ENSG00000171634	0.7435461598428671	71
MONDO_0060611	ENSG00000100714	0.7345322954924165	27
MONDO_0060622	ENSG00000132153	0.7396278496006133	44
MONDO_0060624	ENSG00000185236	0.7023484061435711	15
MONDO_0060627	ENSG00000197858	0.7978383391823656	42
MONDO_0060631	ENSG00000138688	0.7514667315185356	81
MONDO_0060641	ENSG00000152578	0.7094459859928828	35
MONDO_0060663	ENSG00000130700	0.7256037036136694	26
MONDO_0060707	ENSG00000198218	0.745566992789089	56
MONDO_0060711	ENSG00000172432	0.7366493622441085	19
MONDO_0060720	ENSG00000033170	0.7272742527087221	21
MONDO_0060745	ENSG00000069667	0.722971756649091	54
MONDO_0060758	ENSG00000006283	0.7039319900756982	43
MONDO_0060759	ENSG00000119669	0.805924594168998	85
MONDO_0060760	ENSG00000138081	0.7900151068227171	119
MONDO_0060763	ENSG00000127152	0.7148214201120181	31
MONDO_0100017	ENSG00000141527	0.7410022372811141	846
MONDO_0100062	ENSG00000004848	0.7008248382645225	453
